"SID","station_group"
1310,"Norway"
1311,"Norway"
1317,"Norway"
1318,"Norway"
1321,"Norway"
1322,"Norway"
1323,"Norway"
1329,"Norway"
1332,"Norway"
1337,"Norway"
1338,"Norway"
1340,"Norway"
1341,"Norway"
1347,"Norway"
1350,"Norway"
1355,"Norway"
1359,"Norway"
1364,"Norway"
1367,"Norway"
1372,"Norway"
1384,"Norway"
1385,"Norway"
1392,"Norway"
1393,"Norway"
1397,"Norway"
1400,"Norway"
1401,"Norway"
1403,"Norway"
1406,"Norway"
1411,"Norway"
1412,"Norway"
1415,"Norway"
1417,"Norway"
1424,"Norway"
1425,"Norway"
1427,"Norway"
1428,"Norway"
1433,"Norway"
1434,"Norway"
1441,"Norway"
1442,"Norway"
1446,"Norway"
1447,"Norway"
1448,"Norway"
1452,"Norway"
1455,"Norway"
1465,"Norway"
1467,"Norway"
1468,"Norway"
1469,"Norway"
1470,"Norway"
1471,"Norway"
1473,"Norway"
1474,"Norway"
1476,"Norway"
1481,"Norway"
1482,"Norway"
1486,"Norway"
1492,"Norway"
1493,"Norway"
1494,"Norway"
1495,"Norway"
1496,"Norway"
1498,"Norway"
1001,"Norway 2"
1002,"Norway 2"
1003,"Norway 2"
1004,"Norway 2"
1006,"Norway 2"
1007,"Norway 2"
1008,"Norway 2"
1009,"Norway 2"
1010,"Norway 2"
1011,"Norway 2"
1014,"Norway 2"
1015,"Norway 2"
1016,"Norway 2"
1017,"Norway 2"
1018,"Norway 2"
1019,"Norway 2"
1020,"Norway 2"
1021,"Norway 2"
1022,"Norway 2"
1023,"Norway 2"
1025,"Norway 2"
1026,"Norway 2"
1027,"Norway 2"
1028,"Norway 2"
1029,"Norway 2"
1033,"Norway 2"
1035,"Norway 2"
1036,"Norway 2"
1037,"Norway 2"
1038,"Norway 2"
1042,"Norway 2"
1043,"Norway 2"
1044,"Norway 2"
1045,"Norway 2"
1046,"Norway 2"
1047,"Norway 2"
1049,"Norway 2"
1052,"Norway 2"
1055,"Norway 2"
1057,"Norway 2"
1058,"Norway 2"
1059,"Norway 2"
1062,"Norway 2"
1065,"Norway 2"
1068,"Norway 2"
1074,"Norway 2"
1075,"Norway 2"
1078,"Norway 2"
1083,"Norway 2"
1084,"Norway 2"
1085,"Norway 2"
1086,"Norway 2"
1088,"Norway 2"
1099,"Norway 2"
1102,"Norway 2"
1105,"Norway 2"
1106,"Norway 2"
1107,"Norway 2"
1108,"Norway 2"
1112,"Norway 2"
1113,"Norway 2"
1114,"Norway 2"
1115,"Norway 2"
1116,"Norway 2"
1117,"Norway 2"
1121,"Norway 2"
1122,"Norway 2"
1124,"Norway 2"
1132,"Norway 2"
1133,"Norway 2"
1134,"Norway 2"
1135,"Norway 2"
1139,"Norway 2"
1141,"Norway 2"
1143,"Norway 2"
1144,"Norway 2"
1146,"Norway 2"
1147,"Norway 2"
1148,"Norway 2"
1149,"Norway 2"
1150,"Norway 2"
1151,"Norway 2"
1152,"Norway 2"
1153,"Norway 2"
1156,"Norway 2"
1158,"Norway 2"
1160,"Norway 2"
1161,"Norway 2"
1162,"Norway 2"
1167,"Norway 2"
1169,"Norway 2"
1180,"Norway 2"
1183,"Norway 2"
1192,"Norway 2"
1193,"Norway 2"
1198,"Norway 2"
1199,"Norway 2"
1200,"Norway 2"
1201,"Norway 2"
1203,"Norway 2"
1205,"Norway 2"
1207,"Norway 2"
1209,"Norway 2"
1210,"Norway 2"
1212,"Norway 2"
1214,"Norway 2"
1217,"Norway 2"
1218,"Norway 2"
1220,"Norway 2"
1221,"Norway 2"
1223,"Norway 2"
1225,"Norway 2"
1226,"Norway 2"
1227,"Norway 2"
1228,"Norway 2"
1229,"Norway 2"
1230,"Norway 2"
1232,"Norway 2"
1233,"Norway 2"
1234,"Norway 2"
1238,"Norway 2"
1239,"Norway 2"
1240,"Norway 2"
1241,"Norway 2"
1242,"Norway 2"
1245,"Norway 2"
1250,"Norway 2"
1252,"Norway 2"
1253,"Norway 2"
1254,"Norway 2"
1257,"Norway 2"
1259,"Norway 2"
1262,"Norway 2"
1265,"Norway 2"
1270,"Norway 2"
1271,"Norway 2"
1272,"Norway 2"
1273,"Norway 2"
1274,"Norway 2"
1277,"Norway 2"
1278,"Norway 2"
1280,"Norway 2"
1281,"Norway 2"
1282,"Norway 2"
1287,"Norway 2"
1288,"Norway 2"
1290,"Norway 2"
1291,"Norway 2"
1292,"Norway 2"
1293,"Norway 2"
1295,"Norway 2"
1298,"Norway 2"
1300,"Norway 2"
1302,"Norway 2"
1304,"Norway 2"
1307,"Norway 2"
1308,"Norway 2"
1309,"Norway 2"
1310,"Norway 2"
1311,"Norway 2"
1315,"Norway 2"
1317,"Norway 2"
1318,"Norway 2"
1319,"Norway 2"
1320,"Norway 2"
1321,"Norway 2"
1322,"Norway 2"
1323,"Norway 2"
1326,"Norway 2"
1327,"Norway 2"
1329,"Norway 2"
1332,"Norway 2"
1337,"Norway 2"
1338,"Norway 2"
1340,"Norway 2"
1341,"Norway 2"
1342,"Norway 2"
1344,"Norway 2"
1346,"Norway 2"
1347,"Norway 2"
1350,"Norway 2"
1352,"Norway 2"
1355,"Norway 2"
1358,"Norway 2"
1359,"Norway 2"
1360,"Norway 2"
1361,"Norway 2"
1362,"Norway 2"
1363,"Norway 2"
1364,"Norway 2"
1365,"Norway 2"
1366,"Norway 2"
1367,"Norway 2"
1368,"Norway 2"
1369,"Norway 2"
1370,"Norway 2"
1371,"Norway 2"
1372,"Norway 2"
1373,"Norway 2"
1374,"Norway 2"
1375,"Norway 2"
1376,"Norway 2"
1378,"Norway 2"
1380,"Norway 2"
1381,"Norway 2"
1382,"Norway 2"
1383,"Norway 2"
1384,"Norway 2"
1385,"Norway 2"
1386,"Norway 2"
1387,"Norway 2"
1389,"Norway 2"
1392,"Norway 2"
1393,"Norway 2"
1397,"Norway 2"
1399,"Norway 2"
1400,"Norway 2"
1401,"Norway 2"
1402,"Norway 2"
1403,"Norway 2"
1404,"Norway 2"
1406,"Norway 2"
1407,"Norway 2"
1408,"Norway 2"
1411,"Norway 2"
1412,"Norway 2"
1413,"Norway 2"
1414,"Norway 2"
1415,"Norway 2"
1416,"Norway 2"
1417,"Norway 2"
1419,"Norway 2"
1422,"Norway 2"
1424,"Norway 2"
1425,"Norway 2"
1426,"Norway 2"
1427,"Norway 2"
1428,"Norway 2"
1430,"Norway 2"
1431,"Norway 2"
1433,"Norway 2"
1434,"Norway 2"
1435,"Norway 2"
1436,"Norway 2"
1439,"Norway 2"
1440,"Norway 2"
1441,"Norway 2"
1442,"Norway 2"
1444,"Norway 2"
1446,"Norway 2"
1447,"Norway 2"
1448,"Norway 2"
1449,"Norway 2"
1450,"Norway 2"
1452,"Norway 2"
1453,"Norway 2"
1455,"Norway 2"
1459,"Norway 2"
1463,"Norway 2"
1464,"Norway 2"
1465,"Norway 2"
1466,"Norway 2"
1467,"Norway 2"
1468,"Norway 2"
1469,"Norway 2"
1470,"Norway 2"
1471,"Norway 2"
1472,"Norway 2"
1473,"Norway 2"
1474,"Norway 2"
1475,"Norway 2"
1476,"Norway 2"
1477,"Norway 2"
1478,"Norway 2"
1479,"Norway 2"
1480,"Norway 2"
1481,"Norway 2"
1482,"Norway 2"
1483,"Norway 2"
1484,"Norway 2"
1485,"Norway 2"
1486,"Norway 2"
1487,"Norway 2"
1488,"Norway 2"
1489,"Norway 2"
1490,"Norway 2"
1492,"Norway 2"
1493,"Norway 2"
1494,"Norway 2"
1495,"Norway 2"
1496,"Norway 2"
1498,"Norway 2"
1500,"Norway 2"
1503,"Norway 2"
1507,"Norway 2"
1508,"Norway 2"
1512,"Norway 2"
1513,"Norway 2"
1514,"Norway 2"
1515,"Norway 2"
1516,"Norway 2"
1517,"Norway 2"
1604,"Norway 2"
1605,"Norway 2"
1606,"Norway 2"
1607,"Norway 2"
1608,"Norway 2"
1609,"Norway 2"
1610,"Norway 2"
1611,"Norway 2"
1612,"Norway 2"
2191,"Coast"
2188,"Coast"
2176,"Coast"
2297,"Coast"
2287,"Coast"
2284,"Coast"
2269,"Coast"
2382,"Coast"
2368,"Coast"
2355,"Coast"
2450,"Coast"
2488,"Coast"
2493,"Coast"
2487,"Coast"
2567,"Coast"
2563,"Coast"
2575,"Coast"
2644,"Coast"
2665,"Coast"
2628,"Coast"
2625,"Coast"
2616,"Coast"
2605,"Coast"
2518,"Coast"
2515,"Coast"
2505,"Coast"
2501,"Coast"
2500,"Coast"
1495,"Coast"
1508,"Coast"
1482,"Coast"
1478,"Coast"
